# Synthetic Eval Dataset — Asisten Pengetahuan Internal Toko Makmur Jaya
# Architecture version: 1.2 | 12 Supported + 3 Unsupported
# =============================================================================
# This is a SYNTHETIC working copy derived from the candidate CSV.
# Human approved the corpus-backed oracle reconciliation for items 1,2,4,5,6,10,11,12 and the item-14 replacement on 2026-09-20. QA still owns execution and verdict.
# Source candidate: D:\QA_Dataset_15_Pasangan.csv (SHA-256: 4AA92047BE3C7933586207DE068AC8711672700F54DB6D4BD69A7C1B14646EEC)
# =============================================================================
# M5 REVISION: corrected working copy to 12+3 per approved distribution
#   (3 SOP / 3 FAQ / 2 Panduan / 3 Kebijakan / 1 Profil = 12 supported)
# Changes vs M3 copy:
#   - Removed 4 surplus Kebijakan rows (bonus bulanan, syarat bonus tahunan,
#     cuti melahirkan, lantai basah) to restore target distribution
#   - Added 1 FAQ (retur, from 11_FAQ_Kebijakan_Retur_dan_Tukar_Barang.md)
#   - Added 2 Panduan (16 komplain barang rusak, 18 keterlambatan pengantaran)
#   - Supported flags corrected (3 unsupported now FALSE)
#   - All source labels point to approved corpus files (00..25)
# Format: Pertanyaan | Jawaban_Benar | Dokumen_Sumber | Kategori | Supported
# =============================================================================

Pertanyaan,Jawaban_Benar,Dokumen_Sumber,Kategori,Supported
"Jam berapa toko buka hari Senin?","Toko buka pukul 07.00–21.00 setiap hari, termasuk hari Senin.","21_Kebijakan_Jadwal_Shift_Kerja.md",FAQ,TRUE
"Apakah toko menyediakan parkir untuk pelanggan?","Ya, area parkir berada di depan toko, cukup untuk sekitar 10 motor dan 5 mobil, serta gratis.","09_FAQ_Jam_Operasional_dan_Lokasi.md",FAQ,TRUE
"Apa kebijakan retur dan tukar barang?","Barang dapat dikembalikan/ditukar sesuai kebijakan retur yang berlaku di toko.","11_FAQ_Kebijakan_Retur_dan_Tukar_Barang.md",FAQ,TRUE
"Bagaimana prosedur membuka toko menurut SOP?","Prosedur buka toko berlangsung pukul 06.30–07.00: cek keamanan luar dan dalam, nonaktifkan alarm, aktifkan POS/printer/QRIS/card reader/AC, masukkan cash float Rp 500.000, cek area penjualan, lalu isi formulir pengecekan sebelum pelanggan masuk pukul 07.00.","01_SOP_Buka_Toko.md",SOP,TRUE
"Apa saja isi SOP Penanganan Kas dan Setoran Harian?","SOP mengatur pencatatan transaksi dan pengeluaran dengan bukti, penghitungan kas pukul 20.55, verifikasi QRIS/kartu debit, rekonsiliasi total penjualan, pemisahan cash float Rp 200.000, penyimpanan brankas dua kunci, setoran bank Senin dan Kamis pukul 16.00–17.00, serta dokumentasi.","03_SOP_Penanganan_Kas_dan_Setoran_Harian.md",SOP,TRUE
"Apa prosedur tutup toko pada pukul 21:00?","Penutupan dimulai pukul 20.45: hentikan penerimaan pelanggan baru, layani checkout yang berjalan, cek area, tutup sistem kasir dan hitung uang dengan dua saksi, bersihkan area, matikan AC/lampu/musik/POS, aktifkan alarm, kunci semua pintu, dan isi dokumentasi penutupan.","02_SOP_Tutup_Toko.md",SOP,TRUE
"Bagaimana cara mengajukan komplain barang rusak?","Ajukan komplain melalui prosedur yang ditetapkan, lampirkan bukti transaksi dan kondisi barang.","16_Panduan_Komplain_Barang_Rusak.md",Panduan,TRUE
"Apa yang harus dilakukan jika pengantaran terlambat?","Ikuti panduan komplain keterlambatan pengantaran sesuai prosedur yang berlaku.","18_Panduan_Komplain_Keterlambatan_Pengantaran.md",Panduan,TRUE
"Berapa hari cuti tahunan karyawan setelah 1 tahun kerja?","12 hari per tahun.","20_Kebijakan_Cuti_dan_Izin_Karyawan.md",Kebijakan Internal,TRUE
"Bagaimana ketentuan izin sakit kurang dari 3 hari?","Untuk sakit maksimal 2 hari, surat dokter tidak diwajibkan; jika lebih dari 2 hari, wajib melampirkan surat dokter dari klinik atau rumah sakit.","20_Kebijakan_Cuti_dan_Izin_Karyawan.md",Kebijakan Internal,TRUE
"Bagaimana kebijakan K3 terkait APAR dan jalur evakuasi?","Dokumen K3 menyebut toko sebaiknya memiliki fire extinguisher atau tabung pemadam yang mudah diakses, misalnya dekat pintu. Pintu keluar dan jalur darurat harus bebas hambatan, dan semua orang harus mengetahui rute keluar darurat.","25_Kebijakan_Keselamatan_Kerja_K3_Sederhana.md",Kebijakan Internal,TRUE
"Di mana lokasi Toko Makmur Jaya?","Toko Makmur Jaya beralamat di Jalan Raya Kecamatan No. 45, Kelurahan Pasar Baru, Kecamatan Pusat.","00_Company_Profile_Toko_Makmur_Jaya.md",Profil Perusahaan,TRUE
"Berapa nominal gaji pokok karyawan baru?","Informasi tidak ditemukan di dokumen resmi.","",Unsupported,FALSE
"Bagaimana prosedur klaim biaya perjalanan dinas?","Informasi tidak ditemukan di dokumen resmi.","",Unsupported,FALSE
"Bagaimana cara mengajukan pinjaman ke manajer?","Informasi tidak ditemukan di dokumen resmi.","",Unsupported,FALSE
